rule(severity),ToolKit,Assembly,Fun/ Game,Full-stack Library,None-Quantum,Quantum-Chemistry,Compiler,Simulator,Quantum Algorithsm,Quantum Annealing,Cryptography,Experimentation,tag,message,ToolKit,Assembly,Fun/ Game,Full-stack Library,None-Quantum,Quantum-Chemistry,Compiler,Simulator,Quantum Algorithsm,Quantum Annealing,Cryptography,Experimentation,MEDIAN
S3972(CRITICAL//),1.30E-11,0,8.09E-10,0,6.69E-11,0,0,0,0,0,0,0,/suspicious/,"Move this ""if"" to a new line or add the missing ""else"".; /",0,0,0,0,0,0,0,0,0,0,0,0,0
PreIncrementDecrement(MAJOR//),0,0,0,0,5.00E-10,0,0,0,0,0,0,0,/xxxxx/,"This statement doesn't produce the expected result, replace use of non-existent pre-increment operator; /",0,0,0,0,0.02,0,0,0,0,0,0,0,0
S4657(CRITICAL//),1.75E-10,0,4.43E-07,0,1.53E-09,2.05E-11,0,1.61E-10,0,0,0,0,/xxxxx/,"Unexpected shorthand ""padding"" after ""padding-left""; /",0,0,1.04,0,0.05,0,0,0,0,0,0,0,0
S2681(MAJOR//),0,0,8.09E-10,1.59E-09,1.57E-09,0,2.10E-09,0,0,0,0,0,/suspicious/design/,This line will not be executed conditionally; only the first statement will be. The rest will execute unconditionally.; /This statement will not be executed conditionally; only the first statement of this 3-statement block will be. The rest will execute unconditionally.; /,0,0,0,0.05,0.05,0,0.08,0,0,0,0,0,0
S1142(MAJOR//),0,0,0,0,8.54E-09,0,0,0,0,0,0,0,/brain_overload/,"Reduce the number of returns of this function 7, down to the maximum allowed 3.; /",0,0,0,0,0.27,0,0,0,0,0,0,0,0
S101(MINOR//),4.50E-08,7.68E-08,0,7.41E-08,2.05E-08,4.11E-08,4.05E-08,9.42E-09,5.00E-08,1.13E-07,9.12E-09,7.44E-08,/convention/,"Rename class ""Com_QuantummanagerInstallerScript"" to match the regular expression ^[A-Z][a-zA-Z0-9]*$.; /Rename class ""_build_py"" to match the regular expression ^[A-Z_][a-zA-Z0-9]+$.; /",1.06,1.28,0,2.13,0.64,1.01,1.57,0.22,1.2,1.94,0.23,0.65,1.035
S4650(BLOCKER//),0,0,0,0,0,0,0,0,0,0,0,0,/xxxxx/,"Expected single space after ""*"" operator; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S1185(MINOR//),0,0,0,0,1.49E-09,0,0,0,0,0,0,0,redundant//clumsy/,"Remove this method ""__construct"" to simply inherit it.; /",0,0,0,0,0.05,0,0,0,0,0,0,0,0
S112(MAJOR//),1.40E-07,9.62E-08,5.20E-08,5.10E-08,6.26E-08,6.21E-08,1.45E-07,1.27E-08,2.66E-08,4.51E-08,1.66E-07,6.97E-08,/error_handling/cwe/,Replace this generic exception class with a more specific one.; /Define and throw a dedicated exception instead of using a generic one.; /,3.32,1.6,0.12,1.46,1.96,1.52,5.61,0.3,0.64,0.77,4.19,0.61,1.49
S4648(MAJOR//),1.04E-10,0,0,0,5.23E-10,0,0,0,0,0,0,4.80E-10,/xxxxx/,Unexpected duplicate name monospace; /,0,0,0,0,0.02,0,0,0,0,0,0,0,0
S3686(MAJOR//),0,0,1.62E-09,2.72E-10,9.31E-12,0,0,3.88E-10,0,0,0,0,/xxxxx/,"Correct the use of this function; on line 41 it was called with ""new"".; /",0,0,0,0.01,0,0,0,0.01,0,0,0,0,0
S1135(INFO//),6.05E-12,0,6.07E-10,0,1.07E-08,0,0,0,0,0,0,0,/cwe/,"Complete the task associated to this ""TODO"" comment.; /Complete the task associated to this TODO comment.; /",0,0,0,0,0.33,0,0,0,0,0,0,0,0
S2870(MAJOR//),0,0,0,0,5.34E-10,0,0,0,0,0,0,0,/xxxxx/,"Remove this use of ""delete"".; /",0,0,0,0,0.02,0,0,0,0,0,0,0,0
S5706(MAJOR//),0,0,0,0,0,0,0,3.24E-08,0,0,0,0,/xxxxx/,"Remove this ""raise"" statement and return ""False"" instead.; /",0,0,0,0,0,0,0,0.76,0,0,0,0,0
S888(CRITICAL//),0,0,3.24E-09,0,2.66E-12,0,0,0,0,0,0,0,/suspicious/cwe/,"Replace '!=' operator with one of '<=', '>=', '<', or '>' comparison operators.; /",0,0,0.01,0,0,0,0,0,0,0,0,0,0
S4663(MINOR//),0,0,0,0,0,0,0,0,0,0,0,0,/xxxxx/,Unexpected empty comment; /,0,0,0,0,0,0,0,0,0,0,0,0,0
S2999(MAJOR//),0,0,0,0,0,0,0,0,0,0,0,0,/xxxxx/,Replace this with a constructor function.; /,0,0,0,0,0,0,0,0,0,0,0,0,0
S5717(CRITICAL//),5.04E-09,1.45E-08,2.60E-08,7.69E-09,1.59E-09,4.46E-09,8.77E-09,1.25E-09,2.66E-08,3.77E-10,5.79E-10,2.29E-08,/xxxxx/,"Change this default value to ""None"" and initialize this parameter inside the function/method.; /",0.12,0.24,0.06,0.22,0.05,0.11,0.34,0.03,0.64,0.01,0.01,0.2,0.115
S1515(MAJOR//),3.94E-10,3.12E-10,8.09E-10,3.89E-10,1.05E-09,0,0,5.25E-10,0,0,0,0,/suspicious/,Define this function outside of a loop.; /,0.01,0.01,0,0.01,0.03,0,0,0.01,0,0,0,0,0
S5719(BLOCKER//),3.59E-11,0,0,0,1.49E-10,0,0,9.16E-11,0,1.88E-09,0,4.75E-09,confusing//convention/suspicious/,"Add a ""self"" or class parameter; /",0,0,0,0,0,0,0,0,0,0.03,0,0.04,0
S2814(MAJOR//),5.58E-09,2.49E-09,7.34E-08,2.67E-08,2.15E-08,1.34E-09,5.27E-08,4.43E-09,0,0,5.79E-10,0,confusing//,'fp' is already defined.; /,0.13,0.04,0.17,0.77,0.67,0.03,2.04,0.1,0,0,0.01,0,0.07
S1827(MAJOR//),1.31E-07,9.32E-08,6.95E-07,7.16E-09,9.02E-08,3.01E-08,0,2.79E-07,2.37E-08,5.56E-08,0,1.00E-07,user_experience/html5/obsolete//,"Remove this deprecated ""valign"" attribute.; /",3.09,1.55,1.63,0.21,2.82,0.74,0,6.55,0.57,0.96,0,0.88,0.92
S2692(MAJOR//),0,0,3.24E-09,2.33E-10,7.39E-10,0,0,3.52E-11,0,0,0,0,/suspicious/,This check ignores index 0; consider using 'includes' method to make this check safe and explicit.; /,0,0,0.01,0.01,0.02,0,0,0,0,0,0,0,0
S4084(MAJOR//),0,0,0,0,6.94E-11,0,0,0,0,0,0,0,/html5/accessibility/,Add subtitles and description files for this video.; /,0,0,0,0,0,0,0,0,0,0,0,0,0
S3923(MAJOR//),1.37E-09,1.39E-09,2.02E-10,1.71E-10,1.85E-08,1.98E-10,0,9.16E-11,1.21E-10,0,0,1.88E-09,unused//pitfall/xxxxx/,"Remove this conditional structure or edit its code blocks so that they're not all the same.; /This conditional operation returns the same value whether the condition is ""true"" or ""false"".; /Remove this if statement or edit its code blocks so that they're not all the same.; /",0.03,0.02,0,0,0.58,0,0,0,0,0,0,0.02,0
ImgWithoutAltCheck(MINOR//),3.87E-09,1.81E-08,3.32E-06,2.19E-09,7.27E-09,7.85E-10,0,4.84E-09,3.85E-09,0,4.35E-10,1.44E-09,wcag2_a//accessibility/,"Add an ""alt"" attribute to this image.; /",0.09,0.3,7.79,0.06,0.23,0.02,0,0.11,0.09,0,0.01,0.01,0.075
S3812(CRITICAL//),0,0,0,1.17E-10,0,0,0,0,0,0,0,0,/xxxxx/,"Add parentheses to perform ""instanceof"" operator before logical NOT operator.; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S1192(CRITICAL//),5.97E-07,1.73E-07,3.12E-07,3.00E-07,4.23E-07,5.59E-07,6.34E-08,3.06E-07,4.41E-07,1.62E-07,3.12E-07,2.27E-07,/xxxxx/design/,"Define a constant instead of duplicating this literal 'MARVEL VM Documentation' 3 times.; /Define a constant instead of duplicating this literal ""error"" 3 times.; /Define a constant instead of duplicating this literal ""[No Name]"" 4 times.; /",14.12,2.88,0.73,8.61,13.22,13.69,2.46,7.19,10.56,2.79,7.85,1.99,7.52
ItemTagNotWithinContainerTagCheck(MINOR//),6.29E-10,0,0,4.83E-10,5.92E-09,0,0,0,2.19E-09,0,0,0,/xxxxx/,Surround this <li> item tag by a <ul> or <ol> container one.; /,0.01,0,0,0.01,0.18,0,0,0,0.05,0,0,0,0
S1126(MINOR//),0,0,0,1.17E-10,1.51E-10,0,0,0,0,0,0,0,/clumsy/,Replace this if-then-else statement by a single return statement.; /,0,0,0,0,0,0,0,0,0,0,0,0,0
S4487(CRITICAL//),8.86E-10,0,0,2.13E-11,5.67E-10,0,0,0,5.60E-10,0,0,3.94E-09,unused//cwe/,Remove this unread private attribute '__REC11' or refactor the code to use its value.; /,0.02,0,0,0,0.02,0,0,0,0.01,0,0,0.03,0
S4143(MAJOR//),1.06E-10,2.43E-09,0,0,1.70E-10,1.56E-09,0,3.52E-11,0,1.58E-09,5.79E-10,2.64E-09,/suspicious/,"Verify this is the key that was intended; a value has already been saved for it on line 90.; /Verify this is the index that was intended; ""name"" was already set on line 5909.; /",0,0.04,0,0,0.01,0.04,0,0,0,0.03,0.01,0.02,0.005
S1144(MAJOR//),8.65E-10,0,0,0,1.44E-08,1.55E-11,0,0,2.22E-09,0,0,1.17E-09,unused//,"Remove this unused private ""postfix"" method.; /Remove this unused class-private '__debug_hessian_matvec' method.; /",0.02,0,0,0,0.45,0,0,0,0.05,0,0,0.01,0
S1128(MINOR//),0,0,0,0,1.46E-11,0,0,2.58E-08,0,0,0,0,unused//es2015/,Remove this unused import of 'WglTexture'.; /,0,0,0,0,0,0,0,0.61,0,0,0,0,0
PageWithoutTitleCheck(MAJOR//),0,1.56E-09,0,2.25E-08,1.73E-09,0,0,7.59E-10,6.33E-10,0,0,3.90E-09,user_experience//,Add a <title> tag to this page.; /,0,0.03,0,0.65,0.05,0,0,0.02,0.02,0,0,0.03,0.01
S3973(CRITICAL//),0,0,1.62E-09,5.44E-10,1.52E-09,0,0,0,0,0,0,0,/pitfall/,"Use curly braces or indentation to denote the code conditionally executed by this ""if"".; /",0,0,0,0.02,0.05,0,0,0,0,0,0,0,0
S1534(MAJOR//),0,0,0,1.69E-08,7.26E-10,0,0,0,6.76E-10,0,0,0,/pitfall/,Rename or remove duplicate property name 'ket'.; /,0,0,0,0.49,0.02,0,0,0,0.02,0,0,0,0
S4670(CRITICAL//),3.82E-10,3.58E-09,0,4.55E-08,3.19E-09,5.19E-10,0,0,1.40E-09,1.95E-07,0,4.80E-10,/xxxxx/,"Unexpected unknown type selector ""app-root""; /",0.01,0.06,0,1.31,0.1,0.01,0,0,0.03,3.35,0,0,0.01
FrameWithoutTitleCheck(MINOR//),2.00E-09,0,0,0,2.90E-09,0,0,4.27E-10,0,0,0,0,/accessibility/,"Add a ""title"" attribute to this <iframe> tag.; /",0.05,0,0,0,0.09,0,0,0.01,0,0,0,0,0
S3796(BLOCKER//),0,0,0,0,8.71E-10,0,0,0,0,0,0,0,/xxxxx/,"Add a ""return"" statement to this callback.; /",0,0,0,0,0.03,0,0,0,0,0,0,0,0
PrintStatementUsage(MAJOR//),1.65E-07,4.03E-08,0,2.10E-07,1.38E-07,7.57E-07,0,5.68E-08,4.91E-07,2.62E-07,2.16E-08,1.53E-07,python3//obsolete/,Replace print statement by built-in function.; /,3.9,0.67,0,6.04,4.32,18.55,0,1.33,11.75,4.5,0.54,1.34,2.62
InequalityUsage(MAJOR//),2.19E-09,0,0,0,2.22E-11,0,0,0,0,0,0,0,/obsolete/,"Replace ""<>"" by ""!="".; /",0.05,0,0,0,0,0,0,0,0,0,0,0,0
S4659(MAJOR//),0,0,0,0,8.12E-10,0,0,0,0,0,0,0,/xxxxx/,"Unexpected unknown pseudo-class selector "":.chromeUI""; /",0,0,0,0,0.03,0,0,0,0,0,0,0,0
S1186(CRITICAL//),6.28E-08,3.43E-08,5.78E-10,8.08E-08,8.07E-08,1.36E-08,9.86E-09,1.22E-07,1.42E-08,1.07E-08,5.49E-08,4.40E-08,/suspicious/,"Add a nested comment explaining why this method is empty, or complete the implementation.; /Add a nested comment explaining why this function is empty or complete the implementation.; /",1.48,0.57,0,2.32,2.52,0.33,0.38,2.86,0.34,0.18,1.38,0.39,0.48
S128(BLOCKER//),3.94E-10,3.12E-10,3.24E-09,9.72E-10,2.32E-10,2.05E-11,3.91E-10,5.14E-10,0,0,0,0,/suspicious/cwe/,"End this switch case with an unconditional break, continue, return or throw statement.; /",0.01,0.01,0.01,0.03,0.01,0,0.02,0.01,0,0,0,0,0.01
S2638(CRITICAL//),8.58E-09,1.14E-08,0,1.28E-10,7.35E-09,5.01E-08,0,3.43E-10,2.59E-09,7.54E-10,0,1.63E-08,/based_on_misra/cwe/,Add missing parameters x.; /,0.2,0.19,0,0,0.23,1.23,0,0.01,0.06,0.01,0,0.14,0.035
S3317(MINOR//),0,0,0,0,1.46E-09,0,0,1.06E-10,0,0,0,0,confusing//convention/es2015/,"Rename this file to ""ZeroGate""; /",0,0,0,0,0.05,0,0,0,0,0,0,0,0
S4144(MAJOR//),8.51E-10,2.12E-08,0,5.52E-08,7.29E-09,1.73E-09,0,1.06E-09,1.11E-08,2.41E-08,6.66E-08,1.98E-08,confusing//duplicate/suspicious/,"Update this method so that its implementation is not identical to ""user_action_user_edit"" on line 58.; /Update this function so that its implementation is not identical to __str__ on line 269.; /",0.02,0.35,0,1.59,0.23,0.04,0,0.02,0.27,0.41,1.68,0.17,0.2
S4654(BLOCKER//),6.28E-09,7.17E-09,0,3.44E-09,2.20E-09,4.67E-09,0,3.17E-10,2.80E-09,0,0,2.64E-08,/xxxxx/,"Unexpected unknown property ""tab-index""; /",0.15,0.12,0,0.1,0.07,0.11,0,0.01,0.07,0,0,0.23,0.07
S3626(MINOR//),3.74E-08,3.99E-08,0,7.33E-09,7.91E-09,1.11E-08,4.82E-08,2.96E-09,4.15E-09,1.51E-08,3.58E-08,1.07E-08,redundant//clumsy/,Remove this redundant jump.; /Remove this redundant return.; /,0.88,0.67,0,0.21,0.25,0.27,1.87,0.07,0.1,0.26,0.9,0.09,0.255
S1751(MAJOR//),0,0,0,0,3.20E-09,0,7.67E-09,0,0,0,0,8.76E-10,/xxxxx/,Refactor this loop to do more than one iteration.; /,0,0,0,0,0.1,0,0.3,0,0,0,0,0.01,0
S4651(CRITICAL//),1.30E-11,0,6.65E-07,0,9.22E-10,7.87E-12,0,2.94E-11,0,0,0,0,/xxxxx/,Unexpected nonstandard direction; /,0,0,1.56,0,0.03,0,0,0,0,0,0,0,0
S1656(MAJOR//),2.64E-09,3.12E-10,0,2.33E-10,1.80E-09,4.19E-10,0,5.25E-10,5.40E-10,0,0,8.32E-09,/unused/xxxxx/cwe/,urlAnchor.href' is assigned to itself.; /Remove or correct this useless self-assignment.; /,0.06,0.01,0,0.01,0.06,0.01,0,0.01,0.01,0,0,0.07,0.01
S4658(MAJOR//),1.50E-09,9.35E-10,0,0,1.10E-08,6.17E-10,0,1.54E-09,0,2.60E-08,0,7.63E-07,/xxxxx/,Unexpected empty block; /,0.04,0.02,0,0,0.34,0.02,0,0.04,0,0.45,0,6.69,0.02
S3984(MAJOR//),0,0,0,7.78E-11,0,0,0,0,0,0,0,0,/error_handling/,Throw this error or remove this useless statement.; /,0,0,0,0,0,0,0,0,0,0,0,0,0
UnsupportedTagsInHtml5Check(MAJOR//),1.09E-07,8.57E-08,7.34E-07,9.28E-10,5.28E-08,5.98E-09,0,3.49E-09,3.69E-08,1.06E-07,0,2.86E-07,user_experience/html5/obsolete//,"Remove this deprecated ""tt"" element.; /",2.58,1.43,1.72,0.03,1.65,0.15,0,0.08,0.88,1.83,0,2.51,1.155
S1736(MAJOR//),0,0,0,4.67E-10,4.17E-10,0,0,3.52E-11,0,0,0,0,unused//cwe/,"Remove this code after the ""return"" statement.; /",0,0,0,0.01,0.01,0,0,0,0,0,0,0,0
S3403(MAJOR//BLOCKER//),5.35E-10,3.12E-10,4.04E-09,7.00E-10,2.35E-10,2.05E-11,3.91E-10,5.61E-10,0,0,0,0,unused//xxxxx/,"Remove this ""is"" check; it will always be False.; /Remove this ""!=="" check; it will always be true. Did you mean to use ""!=""?; /",0.01,0.01,0.01,0.02,0.01,0,0.02,0.01,0,0,0,0,0.01
S878(MAJOR//),1.40E-10,0,2.43E-09,5.44E-10,4.51E-09,0,2.80E-08,1.61E-10,0,5.91E-08,0,0,/xxxxx/,Unexpected use of comma operator.; /,0,0,0.01,0.02,0.14,0,1.08,0,0,1.02,0,0,0
S2201(MAJOR//),0,0,8.09E-10,0,9.57E-12,0,0,3.52E-11,0,0,0,0,/xxxxx/,"The return value of ""some"" must be used.; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S4652(MAJOR//),0,0,0,0,0,0,0,0,0,0,0,0,/xxxxx/,Unexpected newline in string; /,0,0,0,0,0,0,0,0,0,0,0,0,0
S4165(MAJOR//),0,0,3.84E-09,1.44E-09,1.19E-09,0,3.42E-10,0,0,0,0,0,redundant//,"Review this useless assignment: ""i"" already holds the assigned value along all execution paths.; /",0,0,0.01,0.04,0.04,0,0.01,0,0,0,0,0,0
FieldsetWithoutLegendCheck(MINOR//),0,0,0,0,2.57E-10,0,0,0,0,0,0,0,/accessibility/,Add a <legend> tag to this fieldset.; /,0,0,0,0,0.01,0,0,0,0,0,0,0,0
S5720(CRITICAL//),4.88E-09,6.23E-10,0,5.56E-10,4.81E-09,8.58E-10,0,0,1.47E-09,0,0,3.32E-09,confusing//convention/suspicious/,"Rename ""ref_mol"" to ""self"" or add the missing ""self"" parameter.; /",0.12,0.01,0,0.02,0.15,0.02,0,0,0.04,0,0,0.03,0.015
S1301(MINOR//),0,0,1.09E-07,1.07E-08,3.69E-09,0,0,0,0,0,0,0,/bad_practice/,"Replace this ""switch"" statement with ""if"" statements to increase readability.; /""switch"" statements should have at least 3 ""case"" clauses; /",0,0,0.26,0.31,0.12,0,0,0,0,0,0,0,0
S5722(BLOCKER//),0,0,0,2.08E-11,4.35E-12,8.19E-11,0,0,0,0,0,3.94E-10,/based_on_misra/cwe/,Add 3 parameters. Method __exit__ should have 4 parameters.; /,0,0,0,0,0,0,0,0,0,0,0,0,0
S116(MINOR//),1.16E-07,6.95E-10,0,3.14E-08,2.07E-08,3.44E-08,6.96E-09,1.88E-08,8.79E-09,1.13E-08,7.92E-08,3.34E-07,/convention/,"Rename this field ""partIds"" to match the regular expression ^[_a-z][_a-z0-9]*$.; /",2.75,0.01,0,0.9,0.65,0.84,0.27,0.44,0.21,0.19,2,2.93,0.545
S3785(CRITICAL//),1.40E-10,0,0,0,0,0,0,0,0,0,0,0,/cwe/,TypeError can be thrown as this operand might have primitive type.; /,0,0,0,0,0,0,0,0,0,0,0,0,0
S1488(MINOR//),0,0,0,0,2.26E-08,0,0,0,0,0,0,0,/clumsy/,"Immediately return this expression instead of assigning it to the temporary variable ""$html"".; /",0,0,0,0,0.71,0,0,0,0,0,0,0,0
S2772(MINOR//),1.41E-08,9.62E-08,0,4.02E-08,2.28E-09,1.28E-08,0,3.66E-10,4.61E-09,0,2.36E-08,1.25E-08,unused//,"Remove this unneeded ""pass"".; /",0.33,1.6,0,1.15,0.07,0.31,0,0.01,0.11,0,0.59,0.11,0.11
S5254(MAJOR//),3.35E-09,2.40E-08,6.66E-07,8.90E-08,2.08E-08,3.94E-09,1.47E-10,1.69E-08,2.80E-09,1.42E-08,1.38E-07,1.80E-08,wcag2_a//accessibility/,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element; /",0.08,0.4,1.56,2.56,0.65,0.1,0.01,0.4,0.07,0.24,3.46,0.16,0.32
S4661(MAJOR//),1.04E-10,0,0,0,3.43E-11,0,0,0,0,0,0,4.80E-10,/xxxxx/,"Unexpected unknown media feature name ""transform-3d""; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S2734(BLOCKER//),0,0,0,0,4.51E-10,0,0,1.34E-09,0,0,0,8.01E-11,/xxxxx/,Remove this return value.; /,0,0,0,0,0.01,0,0,0.03,0,0,0,0,0
S4649(MAJOR//),2.04E-09,2.18E-09,1.62E-09,0,8.49E-09,1.73E-10,9.77E-11,9.47E-11,0,2.86E-07,0,8.65E-09,/xxxxx/,Unexpected missing generic font family; /,0.05,0.04,0,0,0.27,0,0,0,0,4.92,0,0.08,0
DoctypePresenceCheck(MAJOR//),1.56E-09,1.68E-08,0,4.51E-08,2.30E-09,1.83E-09,1.47E-10,1.31E-08,0,0,1.45E-10,4.61E-09,user_experience//,Insert a <!DOCTYPE> declaration to before this <html> tag.; /,0.04,0.28,0,1.29,0.07,0.04,0.01,0.31,0,0,0,0.04,0.04
S3001(MINOR//),1.40E-10,0,0,0,1.47E-10,0,0,0,0,0,0,0,/xxxxx/,"Remove this ""delete"" operator or pass an object property to it.; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S2137(MAJOR//),1.40E-10,0,0,3.11E-10,1.62E-09,0,0,0,0,0,1.45E-10,0,/pitfall/,"Do not use ""undefined"" to declare a parameter - use another name.; /",0,0,0,0.01,0.05,0,0,0,0,0,0,0,0
S1264(MINOR//),1.07E-09,6.23E-10,2.43E-08,4.78E-09,3.96E-10,4.09E-11,1.76E-09,1.12E-09,0,0,0,0,/clumsy/,"Replace this ""for"" loop with a ""while"" loop.; /",0.03,0.01,0.06,0.14,0.01,0,0.07,0.03,0,0,0,0,0.01
S4668(BLOCKER//),0,0,0,0,2.86E-11,0,0,0,0,0,0,0,/xxxxx/,Unexpected double-slash CSS comment; /,0,0,0,0,0,0,0,0,0,0,0,0,0
S4645(MAJOR//),0,0,0,0,5.06E-10,0,0,7.05E-11,0,0,0,0,/xxxxx/,A </script> was found without a relating opening <script> tag. This may be caused by nested script tags.; /,0,0,0,0,0.02,0,0,0,0,0,0,0,0
S3699(MAJOR//),0,0,0,0,1.81E-10,0,3.91E-10,0,0,0,0,0,/xxxxx/,"Remove this use of the output from ""writeString""; ""writeString"" doesn't return anything.; /",0,0,0,0,0.01,0,0.02,0,0,0,0,0,0
S2259(MAJOR//),2.80E-10,0,4.04E-09,7.08E-09,9.22E-10,0,3.91E-10,3.52E-11,0,0,0,0,/cwe/,"TypeError can be thrown as ""source"" might be null or undefined here.; /",0.01,0,0.01,0.2,0.03,0,0.02,0,0,0,0,0,0
,4.23E-06,6.00E-06,4.27E-05,3.48E-06,3.20E-06,4.08E-06,2.58E-06,4.26E-06,4.18E-06,5.82E-06,3.97E-06,1.14E-05,,,,,,,,,,,,,,,
